doenca,localidade,ano,semana_epidemiologica,semana_ano,data_inicio_semana,casos_notificados,casos_confirmados,casos_fem,casos_masc,casos_0_19,casos_20_59,casos_60_mais
Dengue,Baixada Santista,2021,1,202101,2021-01-03,115,20,63,52,28,73,14
Dengue,Baixada Santista,2021,2,202102,2021-01-10,328,74,175,153,96,197,35
Dengue,Baixada Santista,2021,3,202103,2021-01-17,490,118,267,223,134,303,53
Dengue,Baixada Santista,2021,4,202104,2021-01-24,667,154,367,298,179,426,62
Dengue,Baixada Santista,2021,5,202105,2021-01-31,1023,263,597,424,274,644,105
Dengue,Baixada Santista,2021,6,202106,2021-02-07,1411,417,818,590,343,883,185
Dengue,Baixada Santista,2021,7,202107,2021-02-14,2009,681,1139,866,477,1227,305
Dengue,Baixada Santista,2021,8,202108,2021-02-21,2298,843,1295,999,557,1415,326
Dengue,Baixada Santista,2021,9,202109,2021-02-28,2804,863,1624,1177,643,1712,449
Dengue,Baixada Santista,2021,10,202110,2021-03-07,3299,979,1901,1392,705,2054,540
Dengue,Baixada Santista,2021,11,202111,2021-03-14,3620,982,2100,1517,714,2324,582
Dengue,Baixada Santista,2021,12,202112,2021-03-21,3811,1166,2123,1686,730,2457,624
Dengue,Baixada Santista,2021,13,202113,2021-03-28,3341,1037,1884,1454,655,2161,525
Dengue,Baixada Santista,2021,14,202114,2021-04-04,3705,1315,2137,1566,688,2405,612
Dengue,Baixada Santista,2021,15,202115,2021-04-11,3179,1186,1861,1310,675,1949,555
Dengue,Baixada Santista,2021,16,202116,2021-04-18,2608,950,1482,1123,590,1577,441
Dengue,Baixada Santista,2021,17,202117,2021-04-25,2489,882,1394,1079,552,1521,416
Dengue,Baixada Santista,2021,18,202118,2021-05-02,1963,673,1128,830,408,1283,272
Dengue,Baixada Santista,2021,19,202119,2021-05-09,1501,446,840,660,315,948,238
Dengue,Baixada Santista,2021,20,202120,2021-05-16,1489,424,877,611,289,969,231
Dengue,Baixada Santista,2021,21,202121,2021-05-23,1216,307,664,551,269,775,172
Dengue,Baixada Santista,2021,22,202122,2021-05-30,841,211,449,390,193,549,99
Dengue,Baixada Santista,2021,23,202123,2021-06-06,854,225,470,384,204,559,91
Dengue,Baixada Santista,2021,24,202124,2021-06-13,677,174,381,296,137,448,92
Dengue,Baixada Santista,2021,25,202125,2021-06-20,428,94,235,193,96,281,51
